1567926718 0 0 1
1567926749 0 0 2
1567926764 0 0 3
1567944051 1 0 3
1568621296 2 0 3
1569036023 3 0 3
1569036143 4 0 3
1574254389 5 0 3
1574336110 6 0 3
1574342007 7 0 3
1574346945 7 1 3
1574385184 8 1 3
1574385409 9 1 3
1574386223 10 1 3
1574387023 10 2 3
1574390136 11 2 3
1574399840 11 3 3
1574405855 12 3 3
1574407697 13 3 3
1574412896 14 3 3
1574422588 14 4 3
1574571565 15 4 3
1574573462 15 5 3
1574585238 16 5 3
1574600443 17 5 3
1574600536 17 6 3
1574601289 18 6 3
1574771891 19 6 3
1574772509 19 7 3
1574772665 19 8 3
1574841648 20 8 3
1574843764 20 9 3
1575016496 21 9 3
1575017953 21 10 3
1575365999 22 10 3
1575377173 22 11 3
1575377307 22 12 3
1575798820 23 12 3
1575857008 23 13 3
1575857289 24 13 3
1576741468 25 13 3
1576760937 25 14 3
1576762605 26 14 3
1577178138 27 14 3
1577178710 27 15 3
1577259312 28 15 3
1577259627 28 16 3
1577335413 29 16 3
1577335594 30 16 3
1577949188 31 16 3
1578365256 32 16 3
1578365486 32 17 3
1578365630 32 18 3
