1567926718 0 0 3
1567926749 0 0 3
1567926764 0 0 3
1567944051 59 0 3
1568621296 205 0 3
1569036023 388 0 3
1569036143 475 0 3
1574254389 2530 0 3
1574336110 21306 0 3
1574342007 23929 0 3
1574346945 23929 34 3
1574385184 23933 34 3
1574385409 23939 34 3
1574386223 23973 34 3
1574387023 23973 226 3
1574390136 24071 226 3
1574399840 24071 296 3
1574405855 24143 296 3
1574407697 35591 296 3
1574412896 44807 296 3
1574422588 44807 398 3
1574571565 45950 398 3
1574573462 45950 490 3
1574585238 54028 490 3
1574600443 54776 490 3
1574600536 54776 504 3
1574601289 54839 504 3
1574771891 57796 504 3
1574772509 57796 518 3
1574772665 57796 519 3
1574841648 89912 519 3
1574843764 89912 544 3
1575016496 90866 544 3
1575017953 90866 563 3
1575365999 91456 563 3
1575377173 91456 573 3
1575377307 91456 579 3
1575798820 95876 579 3
1575857008 95876 619 3
1575857289 95878 619 3
1576741468 100939 619 3
1576760937 100939 738 3
1576762605 100955 738 3
1577178138 101397 738 3
1577178710 101397 740 3
1577259312 102027 740 3
1577259627 102027 743 3
1577335413 102836 743 3
1577335594 102876 743 3
1577949188 103721 743 3
1578365256 113675 743 3
1578365486 113675 1738 3
1578365630 113675 1738 3
